x;UP-94M;UP-94F;CSO-80;AT-83M;AT-83F;AT-2000M;AT-2000F;BRS-2010M;BRS-2010F;BRM-2010M;BRM-2010F;SP-2005M;SP-2005F;RV-85M;RV-85F;GAM-94F;GAM-94M;RP-2000F;RP-2000M;BRS-2015M;BRS-2015F;BRM-2015M;BRM-2015F
0;;;0.004180;0.002690;0.001835;0.002311;0.001794;0.002000;0.000380;0.002740;0.001280 ;0.012240;0.008863;;;;;;;0.000337;0.000344;0.000391;0.000415 
1;0.000637;0.000571;0.001070;0.001053;0.000778;0.000906;0.000755;0.000690;0.000380;0.000950;0.000460;0.000973;0.000739;0.000338;0.000191;0.000531;0.000592;0.000571;0.000637;0.000157;0.000153;0.000203;0.000184
2;0.000430;0.000372;0.000990;0.000591;0.000402;0.000504;0.000392;0.000350;0.000200;0.000480;0.000250;0.000532;0.000451;0.000345;0.000193;0.000346;0.000400;0.000372;0.000430;0.000094;0.000116;0.000135;0.000105
3;0.000357;0.000278;0.000980;0.000476;0.000298;0.000408;0.000290;0.000220;0.000130;0.000300;0.000160;0.000357;0.000266;0.000353;0.000196;0.000258;0.000332;0.000278;0.000357;0.000069;0.000079;0.000107;0.000073
4;0.000278;0.000208;0.000950;0.000417;0.000240;0.000357;0.000232;0.000160;0.000100;0.000220;0.000120;0.000303;0.000199;0.000361;0.000199;0.000194;0.000259;0.000208;0.000278;0.000058;0.000058;0.000095;0.000060
5;0.000255;0.000188;0.000900;0.000377;0.000194;0.000324;0.000189;0.000130;0.000080;0.000180;0.000100;0.000289;0.000192;0.000370;0.000202;0.000175;0.000237;0.000188;0.000255;0.000054;0.000049;0.000091;0.000055
6;0.000244;0.000176;0.000860;0.000350;0.000160;0.000301;0.000156;0.000120;0.000070;0.000160;0.000090;0.000281;0.000185;0.000379;0.000206;0.000163;0.000227;0.000176;0.000244;0.000054;0.000047;0.000091;0.000054
7;0.000234;0.000165;0.000800;0.000333;0.000134;0.000286;0.000131;0.000110;0.000070;0.000150;0.000090;0.000274;0.000177;0.000390;0.000210;0.000153;0.000217;0.000165;0.000234;0.000056;0.000048;0.000094;0.000056
8;0.000216;0.000147;0.000760;0.000352;0.000134;0.000328;0.000131;0.000110;0.000080;0.000150;0.000090;0.000266;0.000162;0.000402;0.000214;0.000137;0.000201;0.000147;0.000216;0.000058;0.000050;0.000099;0.000059
9;0.000209;0.000140;0.000740;0.000368;0.000136;0.000362;0.000134;0.000120;0.000090;0.000160;0.000110;0.000258;0.000155;0.000414;0.000219;0.000130;0.000194;0.000140;0.000209;0.000062;0.000053;0.000105;0.000063
10;0.000212;0.000141;0.000730;0.000382;0.000141;0.000390;0.000140;0.000130;0.000120;0.000180;0.000140;0.000253;0.000148;0.000428;0.000224;0.000131;0.000197;0.000141;0.000212;0.000067;0.000057;0.000114;0.000068
11;0.000223;0.000148;0.000770;0.000394;0.000147;0.000413;0.000148;0.000150;0.000150;0.000210;0.000180;0.000270;0.000154;0.000443;0.000230;0.000138;0.000208;0.000143;0.000219;0.000074;0.000061;0.000128;0.000073
12;0.000243;0.000159;0.000850;0.000405;0.000155;0.000431;0.000158;0.000190;0.000180;0.000260;0.000220;0.000288;0.000161;0.000459;0.000237;0.000148;0.000226;0.000148;0.000228;0.000083;0.000066;0.000151;0.000079
13;0.000275;0.000177;0.000990;0.000415;0.000165;0.000446;0.000170;0.000240;0.000220;0.000330;0.000260;0.000308;0.000168;0.000477;0.000244;0.000164;0.000255;0.000155;0.000240;0.000097;0.000073;0.000191;0.000086
14;0.000320;0.000203;0.001150;0.000425;0.000175;0.000458;0.000183;0.000310;0.000250;0.000420;0.000300;0.000329;0.000177;0.000496;0.000251;0.000189;0.000297;0.000162;0.000254;0.000118;0.000083;0.000256;0.000095
15;0.000371;0.000233;0.001330;0.000435;0.000188;0.000470;0.000197;0.000390;0.000270;0.000530;0.000330;0.000353;0.000185;0.000517;0.000260;0.000216;0.000345;0.000170;0.000269;0.000149;0.000097;0.000349;0.000108
16;0.000421;0.000261;0.001510;0.000446;0.000201;0.000481;0.000212;0.000480;0.000290;0.000650;0.000350;0.000378;0.000195;0.000540;0.000269;0.000242;0.000391;0.000177;0.000284;0.000191;0.000122;0.000468;0.000130
17;0.000463;0.000281;0.001670;0.000458;0.000214;0.000495;0.000228;0.000570;0.000300;0.000780;0.000370;0.000405;0.000206;0.000565;0.000279;0.000262;0.000430;0.000184;0.000301;0.000280;0.000143;0.000635;0.000165
18;0.000495;0.000293;0.001780;0.000472;0.000229;0.000510;0.000244;0.000660;0.000310;0.000900;0.000370;0.000435;0.000218;0.000593;0.000290;0.000273;0.000460;0.000188;0.000316;0.000374;0.000171;0.000896;0.000224
19;0.000521;0.000301;0.001860;0.000488;0.000244;0.000528;0.000260;0.000740;0.000300;0.001010;0.000370;0.000468;0.000230;0.000622;0.000302;0.000280;0.000484;0.000190;0.000331;0.000491;0.000204;0.001070;0.000281
20;0.000545;0.000305;0.001900;0.000505;0.000260;0.000549;0.000277;0.000800;0.000300;0.001100;0.000370;0.000638;0.000217;0.000655;0.000316;0.000284;0.000507;0.000191;0.000345;0.000605;0.000231;0.001161;0.000331
21;0.000570;0.000308;0.001910;0.000525;0.000276;0.000573;0.000294;0.000850;0.000300;0.001170;0.000360;0.000651;0.000227;0.000690;0.000331;0.000286;0.000530;0.000192;0.000357;0.000707;0.000252;0.001161;0.000365
22;0.000598;0.000311;0.001890;0.000546;0.000293;0.000599;0.000312;0.000890;0.000290;0.001220;0.000360;0.000665;0.000239;0.000728;0.000347;0.000289;0.000556;0.000194;0.000366;0.000762;0.000273;0.001161;0.000389
23;0.000633;0.000313;0.001860;0.000570;0.000311;0.000627;0.000330;0.000920;0.000290;0.001250;0.000350;0.000681;0.000252;0.000770;0.000365;0.000292;0.000589;0.000197;0.000373;0.000782;0.000287;0.001107;0.000400
24;0.000671;0.000313;0.001820;0.000596;0.000330;0.000657;0.000349;0.000930;0.000290;0.001270;0.000350;0.000698;0.000267;0.000816;0.000384;0.000291;0.000624;0.000201;0.000376;0.000773;0.000287;0.001076;0.000398
25;0.000711;0.000313;0.001770;0.000622;0.000349;0.000686;0.000367;0.000930;0.000290;0.001270;0.000350;0.000718;0.000282;0.000866;0.000406;0.000291;0.000661;0.000207;0.000376;0.000754;0.000288;0.001056;0.000392
26;0.000749;0.000316;0.001730;0.000650;0.000368;0.000714;0.000385;0.000930;0.000290;0.001270;0.000360;0.000739;0.000299;0.000920;0.000430;0.000294;0.000696;0.000214;0.000378;0.000737;0.000290;0.001049;0.000400
27;0.000782;0.000324;0.001710;0.000677;0.000387;0.000738;0.000403;0.000920;0.000300;0.001260;0.000370;0.000763;0.000318;0.000979;0.000456;0.000302;0.000727;0.000223;0.000382;0.000730;0.000298;0.001037;0.000413
28;0.000811;0.000338;0.001700;0.000704;0.000405;0.000758;0.000419;0.000920;0.000320;0.001260;0.000390;0.000789;0.000338;0.001043;0.000484;0.000314;0.000754;0.000235;0.000393;0.000726;0.000314;0.001023;0.000434
29;0.000838;0.000356;0.001710;0.000731;0.000423;0.000774;0.000435;0.000910;0.000330;0.001250;0.000410;0.000819;0.000360;0.001114;0.000516;0.000331;0.000779;0.000248;0.000412;0.000718;0.000334;0.001037;0.000456
30;0.000862;0.000377;0.001730;0.000759;0.000441;0.000784;0.000450;0.000920;0.000350;0.001260;0.000440;0.000852;0.000385;0.001190;0.000550;0.000351;0.000801;0.000264;0.000444;0.000721;0.000348;0.001054;0.000482
31;0.000883;0.000401;0.001780;0.000786;0.000460;0.000789;0.000463;0.000930;0.000370;0.001270;0.000470;0.000888;0.000411;0.001273;0.000588;0.000373;0.000821;0.000307;0.000499;0.000734;0.000358;0.001076;0.000508
32;0.000902;0.000427;0.001830;0.000814;0.000479;0.000789;0.000476;0.000940;0.000400;0.001290;0.000500;0.000929;0.000440;0.001364;0.000629;0.000397;0.000839;0.000350;0.000562;0.000758;0.000369;0.001103;0.000538
33;0.000912;0.000454;0.001910;0.000843;0.000499;0.000790;0.000488;0.000990;0.000420;0.001350;0.000540;0.000974;0.000472;0.001463;0.000675;0.000422;0.000848;0.000394;0.000631;0.000794;0.000383;0.001143;0.000576
34;0.000913;0.000482;0.002000;0.000876;0.000521;0.000791;0.000500;0.001030;0.000450;0.001420;0.000570;0.001024;0.000507;0.001571;0.000725;0.000449;0.000849;0.000435;0.000702;0.000840;0.000410;0.001175;0.000618
35;0.000915;0.000514;0.002110;0.000917;0.000545;0.000792;0.000515;0.001090;0.000470;0.001490;0.000620;0.001079;0.000545;0.001688;0.000780;0.000478;0.000851;0.000475;0.000773;0.000880;0.000455;0.001210;0.000664
36;0.000927;0.000550;0.002240;0.000968;0.000574;0.000794;0.000534;0.001150;0.000510;0.001570;0.000660;0.001141;0.000586;0.001816;0.000841;0.000512;0.000862;0.000514;0.000841;0.000920;0.000499;0.001260;0.000704
37;0.000958;0.000593;0.002400;0.001032;0.000607;0.000823;0.000558;0.001210;0.000540;0.001660;0.000710;0.001210;0.000631;0.001955;0.000907;0.000551;0.000891;0.000554;0.000904;0.000951;0.000534;0.001344;0.000749
38;0.001010;0.000643;0.002580;0.001114;0.000646;0.000872;0.000590;0.001280;0.000580;0.001760;0.000760;0.001286;0.000681;0.002107;0.000981;0.000598;0.000939;0.000598;0.000964;0.000988;0.000558;0.001404;0.000799
39;0.001075;0.000701;0.002790;0.001216;0.000691;0.000945;0.000630;0.001360;0.000620;0.001860;0.000820;0.001371;0.000735;0.002273;0.001061;0.000652;0.000999;0.000648;0.001021;0.001029;0.000577;0.001458;0.000863
40;0.001153;0.000763;0.003020;0.001341;0.000742;0.001043;0.000677;0.001440;0.000660;0.001980;0.000880;0.001466;0.000794;0.002453;0.001149;0.000709;0.001072;0.000706;0.001079;0.001088;0.000597;0.001536;0.000941
41;0.001243;0.000826;0.003290;0.001492;0.000801;0.001168;0.000732;0.001530;0.000710;0.002110;0.000950;0.001570;0.000859;0.002650;0.001246;0.000768;0.001156;0.000774;0.001142;0.001156;0.000625;0.001643;0.001041
42;0.001346;0.000888;0.003560;0.001673;0.000867;0.001322;0.000796;0.001640;0.000770;0.002250;0.001030;0.001687;0.000930;0.002864;0.001352;0.000825;0.001252;0.000852;0.001215;0.001244;0.000679;0.001782;0.001143
43;0.001454;0.000943;0.003870;0.001886;0.000942;0.001505;0.000868;0.001750;0.000830;0.002400;0.001110;0.001816;0.001007;0.003097;0.001469;0.000877;0.001352;0.000937;0.001299;0.001351;0.000746;0.001898;0.001247
44;0.001568;0.000992;0.004190;0.002129;0.001026;0.001715;0.000950;0.001870;0.000890;0.002560;0.001200;0.001960;0.001091;0.003351;0.001597;0.000923;0.001458;0.001029;0.001397;0.001480;0.000816;0.002032;0.001346
45;0.001697;0.001046;0.004550;0.002399;0.001122;0.001948;0.001043;0.002000;0.000960;0.002750;0.001300;0.002120;0.001184;0.003628;0.001738;0.000973;0.001578;0.001124;0.001508;0.001603;0.000887;0.002175;0.001455
46;0.001852;0.001111;0.004920;0.002693;0.001231;0.002198;0.001148;0.002150;0.001040;0.002950;0.001400;0.002298;0.001285;0.003929;0.001893;0.001033;0.001722;0.001223;0.001616;0.001725;0.000966;0.002347;0.001576
47;0.002042;0.001196;0.005320;0.003009;0.001356;0.002463;0.001267;0.002310;0.001120;0.003170;0.001520;0.002496;0.001395;0.004258;0.002063;0.001112;0.001899;0.001326;0.001734;0.001846;0.001066;0.002543;0.001732
48;0.002260;0.001297;0.005740;0.003343;0.001499;0.002740;0.001400;0.002490;0.001210;0.003410;0.001640;0.002715;0.001516;0.004616;0.002250;0.001206;0.002102;0.001434;0.001860;0.002001;0.001167;0.002797;0.001909
49;0.002501;0.001408;0.006210;0.003694;0.001657;0.003028;0.001548;0.002680;0.001310;0.003670;0.001780;0.002959;0.001647;0.005005;0.002455;0.001310;0.002326;0.001550;0.001995;0.002179;0.001293;0.003033;0.002102
50;0.002773;0.001536;0.006710;0.004057;0.001830;0.003330;0.001710;0.002900;0.001420;0.003960;0.001930;0.003230;0.001791;0.005430;0.002680;0.001428;0.002579;0.001676;0.002138;0.002387;0.001411;0.003390;0.002290
51;0.003088;0.001686;0.007300;0.004431;0.002016;0.003647;0.001888;0.003130;0.001550;0.004270;0.002090;0.003532;0.001949;0.005893;0.002928;0.001568;0.002872;0.001852;0.002449;0.002623;0.001528;0.003773;0.002486
52;0.003455;0.001864;0.007960;0.004812;0.002215;0.003980;0.002079;0.003390;0.001690;0.004620;0.002280;0.003867;0.002121;0.006396;0.003199;0.001734;0.003213;0.002018;0.002667;0.002903;0.001631;0.004205;0.002669
53;0.003854;0.002051;0.008710;0.005198;0.002426;0.004331;0.002286;0.003670;0.001850;0.004990;0.002480;0.004239;0.002309;0.006945;0.003498;0.001907;0.003584;0.002207;0.002916;0.003217;0.001760;0.004658;0.002867
54;0.004278;0.002241;0.009560;0.005591;0.002650;0.004698;0.002507;0.003980;0.002030;0.005410;0.002700;0.004652;0.002515;0.007543;0.003825;0.002084;0.003979;0.002424;0.003196;0.003554;0.001925;0.005019;0.003095
55;0.004758;0.002466;0.010470;0.005994;0.002891;0.005077;0.002746;0.004310;0.002230;0.005860;0.002940;0.005111;0.002739;0.008193;0.004185;0.002294;0.004425;0.002717;0.003624;0.003907;0.002111;0.005515;0.003376
56;0.005322;0.002755;0.011460;0.006409;0.003151;0.005465;0.003003;0.004680;0.002450;0.006350;0.003210;0.005621;0.002985;0.008902;0.004580;0.002563;0.004949;0.003090;0.004200;0.004298;0.002330;0.005980;0.003690
57;0.006001;0.003139;0.012490;0.006839;0.003432;0.005861;0.003280;0.005090;0.002710;0.006900;0.003510;0.006188;0.003253;0.009674;0.005014;0.002919;0.005581;0.003478;0.004693;0.004716;0.002564;0.006545;0.004032
58;0.006774;0.003612;0.013590;0.007290;0.003739;0.006265;0.003578;0.005540;0.002990;0.007490;0.003840;0.006818;0.003546;0.010514;0.005491;0.003359;0.006300;0.003923;0.005273;0.005132;0.002800;0.007013;0.004405
59;0.007623;0.004154;0.014770;0.007782;0.004081;0.006694;0.003907;0.006030;0.003300;0.008140;0.004200;0.007517;0.003867;0.011429;0.006014;0.003863;0.007090;0.004441;0.005945;0.005551;0.003033;0.007740;0.004809
60;0.008576;0.004773;0.016080;0.008338;0.004467;0.007170;0.004277;0.006560;0.003650;0.008860;0.004590;0.008294;0.004217;0.012425;0.006588;0.004439;0.007976;0.005055;0.006747;0.006001;0.003301;0.008437;0.005263
61;0.009663;0.005476;0.017540;0.008983;0.004908;0.007714;0.004699;0.007150;0.004030;0.009640;0.005010;0.009156;0.004599;0.013509;0.007219;0.005093;0.008986;0.005814;0.007676;0.006504;0.003596;0.009212;0.005734
62;0.010911;0.006271;0.019190;0.009740;0.005413;0.008348;0.005181;0.007800;0.004450;0.010490;0.005480;0.010115;0.005017;0.014689;0.007911;0.005832;0.010147;0.006657;0.008757;0.007097;0.003914;0.009863;0.006247
63;0.012335;0.007179;0.021060;0.010630;0.005990;0.009093;0.005732;0.008510;0.004910;0.011430;0.005990;0.011178;0.005474;0.015974;0.008671;0.006677;0.011471;0.007648;0.010012;0.007802;0.004290;0.010690;0.006745
64;0.013914;0.008194;0.023140;0.011664;0.006633;0.009968;0.006347;0.009290;0.005410;0.012460;0.006540;0.012359;0.005973;0.017372;0.009505;0.007621;0.012940;0.008619;0.011280;0.008671;0.004714;0.011646;0.007283
65;0.015629;0.009286;0.025420;0.012851;0.007336;0.010993;0.007017;0.010140;0.005930;0.013580;0.007140;0.013671;0.006518;0.018893;0.010420;0.008636;0.014535;0.009706;0.012737;0.009583;0.005235;0.012549;0.007807
66;0.017462;0.010423;0.027850;0.014199;0.008090;0.012188;0.007734;0.011070;0.006480;0.014810;0.007780;0.015126;0.007114;0.020548;0.011425;0.009694;0.016239;0.010954;0.014409;0.010535;0.005786;0.013513;0.008405
67;0.019391;0.011574;0.030440;0.015717;0.008888;0.013572;0.008491;0.012100;0.007100;0.016160;0.008500;0.016741;0.007765;0.022348;0.012528;0.010764;0.018034;0.012163;0.016075;0.011456;0.006393;0.014380;0.009041
